epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
825.467785156,7.999,R,14740709,819476,7994,27750,2,28013244416,27770982400,72278016,0.00,0.00,241664,188416,32,20,11776000,11546624,8192,8187,
830.468736374,8.798,D,14837157,824877,8045,27920,2,28184805376,27956654080,72278016,0.00,0.00,241664,172032,32,20,11776000,11534336,8192,8187,
835.469597925,8.798,R,14938496,830536,8089,28097,2,28339118080,28110114816,72278016,0.00,0.00,241664,229376,32,21,11776000,11587584,8192,8188,
840.470451284,8.599,D,15031035,835694,8143,28262,2,28510576640,28280623104,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
845.471210383,7.999,D,15119167,840609,8190,28421,2,28664889344,28434087936,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
850.472152297,7.599,D,15202892,845276,8248,28599,2,28819202048,28587544576,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
855.473115549,7.998,D,15291032,850186,8289,28738,2,28990660608,28758061056,72278016,6552.34,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
860.474019059,9.398,D,15392386,855835,8337,28885,2,29179367424,28945620992,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
865.475007890,7.598,D,15476114,860502,8388,29047,2,29333680128,29099089920,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
870.475884576,8.399,D,15568656,865660,8433,29225,2,29505138688,29269602304,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
875.476739083,8.199,D,15661204,870813,8483,29408,2,29693640704,29457166336,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
880.477373744,7.599,D,15744931,875480,8528,29570,2,29847953408,29610631168,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
